iter	RMSE
0	1.316619657
1	1.295293951
2	1.274175109
3	1.255829416
4	1.238824531
5	1.22227907
6	1.207608147
7	1.196014417
8	1.18360604
9	1.172620982
10	1.161264932
11	1.151649631
12	1.142200114
13	1.134126368
14	1.126538623
15	1.119464526
16	1.11307902
17	1.106784126
18	1.100982886
19	1.095661055
20	1.090515885
21	1.085674791
22	1.081378553
23	1.077874501
24	1.074508335
25	1.070719924
26	1.067228732
27	1.064367681
28	1.061806579
29	1.059056701
30	1.056678038
31	1.054273382
32	1.052163176
33	1.050115842
34	1.048235161
35	1.046668404
36	1.045027572
37	1.043460498
38	1.041840249
39	1.040272199
40	1.038873519
41	1.037295083
42	1.035721663
43	1.034630479
44	1.033281691
45	1.032072168
46	1.030988225
47	1.02981016
48	1.028828603
49	1.027945277
50	1.026964028
51	1.025813355
52	1.025108429
53	1.024932059
54	1.02409621
55	1.023220132
56	1.022264927
57	1.02163633
58	1.021210557
59	1.020456687
60	1.019899194
61	1.019295462
62	1.018580739
63	1.018490802
64	1.017977895
65	1.017927489
66	1.017171518
67	1.016635671
68	1.0159468
69	1.015340616
70	1.014975096
71	1.014622976
72	1.014172218
73	1.013899165
74	1.013361073
75	1.0129774
76	1.012640726
77	1.012370082
78	1.012366656
79	1.012350345
80	1.01185541
81	1.011420341
82	1.011115804
83	1.010876092
84	1.010544918
85	1.010356946
86	1.010065524
87	1.010011661
88	1.009888012
89	1.009741369
90	1.009039466
91	1.008842674
92	1.008599576
93	1.008285237
94	1.008174947
95	1.007984473
96	1.007854834
97	1.007330019
98	1.00693589
99	1.006673229
100	1.006576269
101	1.006438319
102	1.006270307
103	1.005892633
104	1.005682486
105	1.005201134
106	1.005089007
107	1.004824754
108	1.004690897
109	1.004449362
110	1.004227073
111	1.003878703
112	1.003824542
113	1.003515396
114	1.00322424
115	1.003108223
116	1.002881743
117	1.00220428
118	1.00171238
119	1.001529291
120	1.001231215
121	1.001194584
122	1.000797312
123	1.000633111
124	1.000399117
125	1.000082023
126	0.9996509464
127	0.9991435687
128	0.9990351866
129	0.9988391693
130	0.9987183148
131	0.9985695035
132	0.9983084306
133	0.9982285419
134	0.9981003039
135	0.9976638865
136	0.9976222946
137	0.997428207
138	0.9973636568
139	0.9972664125
140	0.997265658
141	0.9970294835
142	0.9968941197
143	0.9965384333
144	0.9965118368
145	0.9964492658
146	0.9962313135
147	0.9958565413
148	0.9957609701
149	0.9956057071
150	0.9956005028
151	0.9953784358
152	0.9948323924
153	0.9946840751
154	0.9946840306
155	0.9942877213
156	0.9939736056
157	0.9939725385
158	0.9937651954
159	0.9936483863
160	0.9932360295
161	0.9928842082
162	0.9928058098
163	0.992608113
164	0.9926007664
165	0.9924656843
166	0.9922564633
167	0.9921420562
168	0.9919730085
169	0.9919613477
170	0.9919609924
171	0.9919004835
172	0.9917132957
173	0.9916886477
174	0.9916102265
175	0.9915748878
176	0.9914996246
177	0.99109611
178	0.99090601
179	0.9908101634
180	0.9907639422
181	0.9902225965
182	0.990107017
183	0.9898556089
184	0.9897123772
185	0.9897038479
186	0.9895767453
187	0.9894662869
188	0.9892712808
189	0.9891622678
190	0.9890965314
191	0.9890129315
192	0.9887789283
193	0.9887357622
194	0.988676715
195	0.9885711008
196	0.9885573603
197	0.9884902746
198	0.9883173545
199	0.9881304784
200	0.9880229653
201	0.988022525
202	0.9879491364
203	0.9879414662
204	0.9878498487
205	0.9875459972
206	0.9870910729
207	0.987050549
208	0.9868353036
209	0.9867988442
210	0.9864212934
211	0.9862706019
212	0.9861552195
213	0.9858829861
214	0.9857901403
215	0.9856670367
216	0.9856032508
217	0.985595442
218	0.9853366067
219	0.9851680884
220	0.9850673299
221	0.9849903074
222	0.9849245465
223	0.9848556672
224	0.9847302344
225	0.9844981766
226	0.9844326992
227	0.9843508102
228	0.9842264725
229	0.9841565044
230	0.9841336401
231	0.9840136046
232	0.9839592515
233	0.9839350049
234	0.9838923581
235	0.983856608
236	0.9837077208
237	0.9836513696
238	0.9836343915
239	0.9835705826
240	0.9835522503
241	0.9834717315
242	0.9834143788
243	0.9833821414
244	0.9832921838
245	0.9829090322
246	0.982836737
247	0.9825989692
248	0.9825673916
249	0.9824496836
250	0.9822347472
251	0.9821744564
252	0.9821273307
253	0.9820720947
254	0.9819301733
255	0.9819014038
256	0.9818145506
257	0.9816594431
258	0.9816298135
259	0.9815136795
260	0.9814058418
261	0.9813559558
262	0.9813325844
263	0.9807839429
264	0.9807404066
265	0.9806148754
266	0.9802750949
267	0.9802177773
268	0.9802082214
269	0.9801436064
270	0.9800901107
271	0.9800726912
272	0.9800329576
273	0.9796955684
274	0.9795741617
275	0.9795395206
276	0.9794828501
277	0.9793309298
278	0.9792614571
279	0.9791561981
280	0.9788495782
281	0.9787882398
282	0.9784137243
283	0.977994118
284	0.9778550836
285	0.9778502711
286	0.977733183
287	0.9777071114
288	0.9776547209
289	0.9775481953
290	0.9771228996
291	0.976756873
292	0.9767036101
293	0.9766359297
294	0.9765666336
295	0.9764296876
296	0.9764003776
297	0.9763642744
298	0.9761210337
299	0.9758660762
300	0.9756194725
301	0.975557992
302	0.9754577806
303	0.9754314333
304	0.9753669247
305	0.9752906107
306	0.9751611777
307	0.9750052256
308	0.9748178919
309	0.9747531684
310	0.9746582855
311	0.9746039646
312	0.9745357667
313	0.9744779395
314	0.9743598882
315	0.9743308076
316	0.974196233
317	0.9741640398
318	0.973627065
319	0.9735381164
320	0.9734968415
321	0.973363534
322	0.973324838
323	0.9732734421
324	0.9732506177
325	0.973232722
326	0.9727673814
327	0.9726724451
328	0.9723687221
329	0.9722469285
330	0.972196767
331	0.9721763597
332	0.9721344379
333	0.9720459437
334	0.9718243629
335	0.9717399063
336	0.9716181789
337	0.9715972455
338	0.9713028418
339	0.9712207724
340	0.9711327369
341	0.9710221664
