iter	Passed	Remaining
0	22	45930
1	39	39127
2	65	43336
3	84	42025
4	103	41359
5	107	35769
6	128	36513
7	150	37425
8	172	38154
9	192	38380
10	213	38651
11	220	36496
12	242	36990
13	264	37477
14	286	37920
15	306	38011
16	326	38044
17	346	38128
18	367	38351
19	389	38548
20	410	38715
21	435	39186
22	457	39293
23	478	39381
24	499	39485
25	524	39806
26	546	39932
27	569	40079
28	591	40223
29	615	40401
30	634	40289
31	657	40435
32	682	40698
33	706	40859
34	734	41262
35	764	41724
36	791	41978
37	816	42150
38	835	42009
39	857	42020
40	884	42280
41	906	42276
42	927	42223
43	950	42252
44	970	42174
45	991	42138
46	1011	42022
47	1032	41989
48	1053	41927
49	1072	41838
50	1093	41774
51	1115	41784
52	1134	41676
53	1156	41663
54	1177	41656
55	1198	41600
56	1219	41553
57	1240	41548
58	1264	41591
59	1286	41600
60	1309	41635
61	1332	41646
62	1354	41642
63	1376	41640
64	1397	41606
65	1425	41782
66	1454	41953
67	1480	42062
68	1500	41997
69	1520	41923
70	1541	41884
71	1564	41898
72	1585	41855
73	1607	41829
74	1630	41836
75	1651	41810
76	1673	41800
77	1696	41791
78	1716	41747
79	1736	41686
80	1757	41638
81	1778	41603
82	1800	41581
83	1819	41505
84	1840	41460
85	1860	41411
86	1880	41356
87	1901	41305
88	1921	41256
89	1945	41281
90	1966	41243
91	2000	41490
92	2033	41700
93	2057	41709
94	2081	41741
95	2103	41723
96	2129	41781
97	2154	41822
98	2176	41802
99	2199	41795
100	2221	41765
101	2249	41852
102	2272	41853
103	2306	42047
104	2337	42179
105	2372	42388
106	2404	42532
107	2425	42497
108	2446	42443
109	2469	42424
110	2489	42360
111	2512	42361
112	2533	42310
113	2554	42261
114	2575	42216
115	2598	42195
116	2618	42148
117	2641	42128
118	2662	42092
119	2684	42062
120	2703	41983
121	2724	41945
122	2747	41922
123	2767	41870
124	2788	41826
125	2807	41759
126	2828	41708
127	2848	41655
128	2869	41620
129	2890	41584
130	2912	41555
131	2933	41514
132	2955	41494
133	2976	41453
134	3001	41471
135	3033	41576
136	3057	41584
137	3086	41642
138	3105	41581
139	3127	41556
140	3149	41525
141	3175	41546
142	3199	41552
143	3224	41561
144	3248	41553
145	3271	41549
146	3295	41542
147	3318	41531
148	3340	41503
149	3362	41472
150	3387	41479
151	3410	41468
152	3435	41472
153	3458	41453
154	3481	41437
155	3504	41420
156	3526	41399
157	3549	41381
158	3571	41352
159	3594	41332
160	3615	41299
161	3639	41294
162	3661	41269
163	3685	41256
164	3708	41243
165	3729	41206
166	3750	41169
167	3773	41154
168	3798	41148
169	3819	41110
170	3841	41090
171	3863	41057
172	3887	41056
173	3910	41032
174	3932	41009
175	3952	40962
176	3973	40928
177	3996	40905
178	4019	40886
179	4041	40868
180	4065	40854
181	4087	40833
182	4112	40828
183	4135	40813
184	4156	40781
185	4177	40742
186	4200	40720
187	4221	40691
188	4244	40674
189	4266	40645
190	4289	40627
191	4311	40601
192	4333	40577
193	4355	40547
194	4375	40501
195	4397	40472
196	4417	40431
197	4440	40409
198	4462	40384
199	4483	40348
200	4504	40316
201	4524	40272
202	4546	40243
203	4566	40204
204	4586	40164
205	4606	40113
206	4626	40074
207	4645	40026
208	4666	39987
209	4689	39976
210	4712	39951
211	4734	39934
212	4756	39901
213	4778	39877
214	4801	39863
215	4820	39817
216	4843	39795
217	4863	39754
218	4884	39724
219	4905	39691
220	4928	39675
221	4949	39641
222	4971	39616
223	4991	39574
224	5009	39522
225	5030	39488
226	5052	39460
227	5074	39437
228	5098	39427
229	5121	39414
230	5143	39389
231	5164	39355
232	5185	39323
233	5206	39296
234	5226	39255
235	5246	39216
236	5265	39168
237	5285	39130
238	5306	39099
239	5327	39069
240	5346	39026
241	5368	39001
242	5389	38969
243	5410	38934
244	5430	38902
245	5452	38876
246	5473	38845
247	5491	38797
248	5512	38766
249	5533	38733
250	5553	38699
251	5573	38657
252	5595	38636
253	5614	38597
254	5636	38572
255	5657	38539
256	5678	38508
257	5698	38474
258	5718	38442
259	5740	38418
260	5761	38388
261	5783	38363
262	5803	38332
263	5825	38309
264	5844	38267
265	5868	38257
266	5894	38258
267	5914	38221
268	5934	38190
269	5957	38170
270	5978	38142
271	5999	38117
272	6020	38084
273	6040	38051
274	6061	38019
275	6082	37992
276	6103	37962
277	6124	37937
278	6145	37907
279	6165	37872
280	6186	37842
281	6206	37814
282	6228	37787
283	6247	37748
284	6268	37721
285	6288	37689
286	6309	37657
287	6329	37626
288	6350	37598
289	6370	37561
290	6389	37522
291	6410	37494
292	6430	37466
293	6451	37438
294	6475	37425
295	6496	37397
296	6516	37367
297	6539	37349
298	6560	37323
299	6583	37305
300	6603	37275
301	6624	37246
302	6646	37224
303	6665	37189
304	6686	37158
305	6706	37127
306	6725	37090
307	6746	37061
308	6766	37031
309	6787	37003
310	6808	36978
311	6829	36949
312	6850	36923
313	6871	36894
314	6891	36864
315	6911	36832
316	6931	36802
317	6952	36773
318	6974	36754
319	6995	36727
320	7013	36683
321	7034	36656
322	7054	36626
323	7076	36605
324	7097	36578
325	7118	36552
326	7139	36525
327	7159	36493
328	7180	36468
329	7200	36441
330	7221	36412
331	7243	36391
332	7264	36364
333	7284	36335
334	7304	36304
335	7325	36278
336	7345	36249
337	7367	36227
338	7389	36204
339	7409	36177
340	7430	36151
341	7450	36121
342	7471	36093
343	7492	36069
344	7514	36046
345	7538	36035
346	7559	36012
347	7581	35988
348	7601	35959
349	7623	35937
350	7642	35902
351	7663	35879
352	7683	35850
353	7703	35817
354	7724	35792
355	7744	35765
356	7764	35736
357	7785	35707
358	7804	35672
359	7824	35642
360	7844	35615
361	7865	35589
362	7887	35569
363	7908	35544
364	7929	35519
365	7948	35487
366	7970	35465
367	7991	35439
368	8012	35414
369	8033	35392
370	8054	35366
371	8077	35349
372	8099	35327
373	8120	35303
374	8142	35282
375	8162	35256
376	8183	35229
377	8203	35200
378	8227	35189
379	8250	35172
380	8271	35146
381	8292	35122
382	8313	35098
383	8335	35077
384	8354	35046
385	8378	35032
386	8398	35003
387	8419	34981
388	8440	34955
389	8460	34925
390	8482	34905
391	8504	34887
392	8525	34861
393	8545	34832
394	8567	34810
395	8588	34788
396	8611	34769
397	8632	34746
398	8653	34722
399	8672	34691
400	8693	34667
401	8715	34646
402	8736	34622
403	8757	34596
404	8778	34571
405	8796	34537
406	8819	34518
407	8840	34494
408	8862	34475
409	8882	34448
410	8904	34426
411	8926	34406
412	8947	34379
413	8966	34349
414	8987	34325
415	9007	34297
416	9027	34270
417	9048	34247
418	9068	34216
419	9089	34195
420	9110	34170
421	9130	34142
422	9149	34111
423	9170	34085
424	9190	34058
425	9212	34037
426	9233	34014
427	9252	33982
428	9272	33955
429	9292	33929
430	9314	33906
431	9334	33882
432	9355	33856
433	9377	33835
434	9396	33805
435	9416	33778
436	9439	33760
437	9460	33736
438	9480	33710
439	9501	33685
440	9522	33664
441	9543	33638
442	9564	33616
443	9585	33592
444	9606	33568
445	9627	33546
446	9646	33516
